vente_id,produit_id,client_id,date_vente,quantite,canal_vente,ville_magasin,prix_total
V00060,P014,C0568,2024-02-27,3,Magasin physique,Agadir,1338
V00061,P010,C0099,2023-10-18,1,En ligne,Oujda,1040
V00062,P019,C0861,2024-07-23,3,Magasin physique,Marrakech,3966
V00063,P002,C0004,2023-05-30,2,Magasin physique,Rabat,2832
V00064,P010,C0641,2023-08-24,3,Magasin physique,Fès,3120
V00065,P004,C0212,2023-03-06,1,En ligne,Agadir,707
V00066,P003,C0865,2024-04-20,2,En ligne,Agadir,982
V00067,P013,C0501,2023-08-11,2,Magasin physique,Rabat,2116
V00068,P018,C0190,2023-12-11,2,Magasin physique,Oujda,1464
V00069,P012,C0457,2024-07-24,1,En ligne,Agadir,506
V00070,P015,C0270,2023-02-21,2,En ligne,Agadir,2492
V00071,P019,C0155,2024-06-16,1,En ligne,Rabat,1322
V00072,P012,C0424,2024-02-06,3,En ligne,Casablanca,1518
V00073,P013,C0429,2024-03-09,3,Magasin physique,Fès,3174
V00074,P016,C0081,2024-09-18,2,Magasin physique,Casablanca,1928
V00075,P017,C0923,2023-09-20,3,En ligne,Rabat,1095
V00076,P015,C0972,2023-12-18,1,En ligne,Fès,1246
V00077,P007,C0044,2023-05-10,1,Magasin physique,Rabat,989
V00078,P014,C0843,2023-03-16,1,En ligne,Agadir,446
V00079,P011,C0937,2023-02-10,3,En ligne,Rabat,2298
V00080,P013,C0407,2024-04-06,3,Magasin physique,Agadir,3174
V00081,P017,C0940,2023-01-30,2,En ligne,Oujda,730
V00082,P004,C0154,2024-09-02,2,En ligne,Rabat,1414
V00083,P004,C0799,2023-09-18,3,En ligne,Agadir,2121
V00084,P018,C0899,2024-08-23,2,Magasin physique,Agadir,1464
V00085,P013,C0498,2024-02-04,3,Magasin physique,Casablanca,3174
V00086,P006,C0413,2023-07-04,2,En ligne,Oujda,2330
V00087,P002,C0911,2024-02-04,2,Magasin physique,Fès,2832
V00088,P002,C0487,2023-03-07,3,Magasin physique,Tanger,4248
V00089,P001,C0838,2023-08-28,2,Magasin physique,Agadir,1726
V00090,P009,C0879,2023-06-22,2,En ligne,Fès,1110
V00091,P005,C0998,2024-04-30,2,Magasin physique,Tanger,2438
V00092,P009,C0427,2023-01-23,3,En ligne,Fès,1665
V00093,P015,C0936,2023-12-18,1,Magasin physique,Meknès,1246
V00094,P017,C0841,2023-10-21,2,En ligne,Marrakech,730
V00095,P003,C0727,2024-06-23,2,Magasin physique,Marrakech,982
V00096,P017,C0030,2023-04-13,3,En ligne,Fès,1095
V00097,P007,C0256,2023-02-05,1,En ligne,Meknès,989
V00098,P002,C0722,2023-09-25,2,En ligne,Agadir,2832
V00099,P012,C0518,2023-09-29,2,Magasin physique,Rabat,1012
V00100,P001,C0382,2023-06-28,1,Magasin physique,Meknès,863
V00101,P006,C0601,2024-09-01,2,Magasin physique,Tanger,2330
V00102,P006,C0767,2024-11-01,2,En ligne,Agadir,2330
V00103,P001,C0051,2024-02-02,2,En ligne,Fès,1726
V00104,P008,C0231,2023-01-19,3,En ligne,Agadir,3012
V00105,P014,C0021,2023-07-19,3,En ligne,Meknès,1338
V00106,P005,C0178,2024-02-18,3,En ligne,Fès,3657
V00107,P009,C0825,2023-07-06,3,Magasin physique,Agadir,1665
V00108,P014,C0873,2024-11-30,2,Magasin physique,Meknès,892
V00109,P009,C0478,2023-05-10,1,Magasin physique,Oujda,555
V00110,P019,C0008,2023-07-10,1,Magasin physique,Agadir,1322
V00111,P010,C0111,2023-04-28,3,Magasin physique,Rabat,3120
V00112,P011,C0656,2024-11-13,2,Magasin physique,Agadir,1532
V00113,P009,C0729,2024-12-07,3,Magasin physique,Fès,1665
V00114,P005,C0784,2023-09-07,3,En ligne,Casablanca,3657
V00115,P020,C0677,2023-07-15,2,Magasin physique,Marrakech,1170
V00116,P001,C0510,2023-04-13,3,Magasin physique,Agadir,2589
V00117,P014,C0398,2023-07-04,2,En ligne,Fès,892
V00118,P011,C0731,2023-08-15,3,En ligne,Meknès,2298
V00119,P012,C0308,2024-01-25,3,En ligne,Marrakech,1518
V00120,P010,C0483,2023-12-17,1,En ligne,Agadir,1040
V00121,P018,C0970,2023-08-14,1,Magasin physique,Rabat,732
V00122,P008,C0229,2024-05-31,2,Magasin physique,Oujda,2008
V00123,P011,C0267,2024-07-10,2,Magasin physique,Meknès,1532
V00124,P004,C0055,2023-09-24,2,En ligne,Meknès,1414
V00125,P007,C0123,2023-01-18,3,Magasin physique,Agadir,2967
V00126,P014,C0892,2023-09-22,1,En ligne,Marrakech,446
V00127,P007,C0420,2023-04-29,2,Magasin physique,Marrakech,1978
V00128,P011,C0185,2024-01-01,3,En ligne,Meknès,2298
V00129,P011,C0182,2023-01-05,3,Magasin physique,Casablanca,2298
V00130,P001,C0281,2024-03-01,2,En ligne,Marrakech,1726
V00131,P019,C0502,2023-12-03,1,En ligne,Marrakech,1322
V00132,P020,C0649,2023-09-15,2,Magasin physique,Oujda,1170
V00133,P014,C0393,2023-06-26,2,En ligne,Casablanca,892
V00134,P018,C0749,2023-09-28,1,Magasin physique,Casablanca,732
V00135,P011,C0196,2024-06-25,3,En ligne,Casablanca,2298
V00136,P008,C0711,2024-11-26,1,Magasin physique,Agadir,1004
V00137,P005,C0393,2024-01-14,1,Magasin physique,Marrakech,1219
V00138,P003,C0306,2024-01-05,1,Magasin physique,Meknès,491
V00139,P017,C0537,2023-03-10,3,Magasin physique,Oujda,1095
V00140,P005,C0924,2023-11-22,2,Magasin physique,Tanger,2438
V00141,P007,C0971,2023-12-30,1,Magasin physique,Casablanca,989
V00142,P008,C0745,2023-09-17,1,En ligne,Fès,1004
V00143,P001,C0517,2024-12-21,3,En ligne,Rabat,2589
V00144,P012,C0667,2023-06-02,3,En ligne,Oujda,1518
V00145,P009,C0639,2024-05-29,3,En ligne,Casablanca,1665
V00146,P004,C0857,2023-03-26,3,En ligne,Casablanca,2121
V00147,P004,C0455,2023-06-13,2,Magasin physique,Rabat,1414
V00148,P018,C0486,2024-07-28,2,En ligne,Fès,1464
V00149,P001,C0431,2023-12-05,2,En ligne,Agadir,1726
V00150,P020,C0718,2024-11-11,3,En ligne,Oujda,1755
V00151,P004,C0737,2024-05-08,3,En ligne,Agadir,2121
V00152,P004,C0510,2024-06-01,1,En ligne,Fès,707
V00153,P009,C0997,2023-01-18,3,En ligne,Tanger,1665
V00154,P014,C0165,2024-05-14,2,En ligne,Meknès,892
V00155,P007,C0956,2023-06-28,3,Magasin physique,Tanger,2967
V00156,P008,C0014,2023-09-03,1,En ligne,Rabat,1004
V00157,P019,C0506,2024-12-21,3,En ligne,Rabat,3966
V00158,P017,C0741,2023-11-10,1,En ligne,Agadir,365
V00159,P008,C0304,2023-08-12,2,Magasin physique,Meknès,2008
V00160,P002,C0833,2023-06-12,1,En ligne,Casablanca,1416
V00161,P010,C0821,2023-12-14,2,Magasin physique,Oujda,2080
V00162,P004,C0872,2024-08-19,1,En ligne,Casablanca,707
V00163,P005,C0663,2024-04-26,3,En ligne,Tanger,3657
V00164,P012,C0979,2024-08-03,2,Magasin physique,Rabat,1012
V00165,P012,C0188,2024-07-31,2,En ligne,Oujda,1012
V00166,P013,C0279,2024-06-27,2,Magasin physique,Meknès,2116
V00167,P014,C0908,2023-02-25,3,En ligne,Rabat,1338
V00168,P005,C0744,2024-01-31,3,En ligne,Marrakech,3657
V00169,P004,C0934,2023-11-28,2,Magasin physique,Meknès,1414
V00170,P006,C0389,2023-11-16,3,Magasin physique,Casablanca,3495
V00171,P005,C0943,2024-03-28,2,Magasin physique,Rabat,2438
V00172,P014,C0048,2023-11-03,2,En ligne,Agadir,892
V00173,P011,C0722,2023-01-20,1,En ligne,Tanger,766
V00174,P017,C0705,2024-03-23,3,En ligne,Oujda,1095
V00175,P008,C0355,2023-05-10,2,Magasin physique,Marrakech,2008
V00176,P018,C0056,2023-02-01,3,En ligne,Marrakech,2196
V00177,P017,C0873,2024-11-02,2,Magasin physique,Marrakech,730
V00178,P003,C0329,2024-08-18,2,En ligne,Tanger,982
V00179,P009,C0520,2023-03-10,1,En ligne,Oujda,555
V00180,P013,C0081,2024-05-15,1,Magasin physique,Meknès,1058
V00181,P019,C0091,2024-09-16,2,Magasin physique,Meknès,2644
V00182,P011,C0510,2024-08-18,1,En ligne,Rabat,766
V00183,P013,C0037,2023-12-28,2,En ligne,Rabat,2116
V00184,P020,C0653,2023-12-03,3,Magasin physique,Fès,1755
V00185,P015,C0373,2023-07-04,2,En ligne,Fès,2492
V00186,P015,C0574,2023-06-06,2,Magasin physique,Tanger,2492
V00187,P015,C0100,2023-08-26,1,En ligne,Casablanca,1246
V00188,P011,C0850,2023-09-06,2,Magasin physique,Tanger,1532
V00189,P004,C0919,2023-06-07,1,En ligne,Meknès,707
V00190,P005,C0761,2024-12-17,3,Magasin physique,Rabat,3657
V00191,P009,C0201,2023-10-05,3,En ligne,Rabat,1665
V00192,P013,C0469,2023-07-14,1,En ligne,Tanger,1058
V00193,P004,C0048,2023-06-01,2,En ligne,Meknès,1414
V00194,P015,C0604,2023-10-06,3,En ligne,Meknès,3738
V00195,P001,C0754,2023-11-20,3,En ligne,Oujda,2589
V00196,P019,C0947,2024-12-26,2,En ligne,Marrakech,2644
V00197,P005,C0397,2023-06-10,1,Magasin physique,Oujda,1219
V00198,P014,C0938,2024-05-19,3,En ligne,Agadir,1338
V00199,P013,C0994,2023-01-31,2,Magasin physique,Meknès,2116
V00200,P005,C0423,2024-04-10,1,Magasin physique,Tanger,1219
V00201,P018,C0223,2024-01-22,3,En ligne,Fès,2196
V00202,P020,C0298,2024-03-16,3,Magasin physique,Marrakech,1755
V00203,P006,C0556,2024-01-18,3,Magasin physique,Rabat,3495
V00204,P012,C0492,2023-04-06,3,Magasin physique,Agadir,1518
V00205,P014,C0536,2023-09-14,1,En ligne,Casablanca,446
V00206,P013,C0055,2023-09-27,1,En ligne,Fès,1058
V00207,P009,C0294,2023-11-11,1,Magasin physique,Marrakech,555
V00208,P002,C0804,2023-09-25,3,Magasin physique,Fès,4248
V00209,P018,C0368,2024-04-01,1,Magasin physique,Rabat,732
V00210,P020,C0758,2023-07-15,3,En ligne,Oujda,1755
V00211,P008,C0804,2023-08-10,3,Magasin physique,Casablanca,3012
V00212,P013,C0427,2024-02-16,2,Magasin physique,Casablanca,2116
V00213,P001,C0258,2024-02-20,3,En ligne,Meknès,2589
V00214,P008,C0722,2024-10-16,3,Magasin physique,Fès,3012
V00215,P007,C0460,2024-12-29,2,En ligne,Rabat,1978
V00216,P006,C0753,2024-06-23,1,En ligne,Oujda,1165
V00217,P002,C0286,2023-10-04,2,Magasin physique,Marrakech,2832
V00218,P006,C0867,2024-09-20,3,Magasin physique,Casablanca,3495
V00219,P011,C0727,2023-06-30,2,En ligne,Casablanca,1532
V00220,P005,C0612,2023-01-14,2,En ligne,Agadir,2438
V00221,P016,C0564,2023-03-05,3,Magasin physique,Rabat,2892
V00222,P011,C0226,2024-03-25,3,En ligne,Rabat,2298
V00223,P017,C0426,2024-09-21,1,Magasin physique,Rabat,365
V00224,P012,C0905,2024-07-14,1,En ligne,Tanger,506
V00225,P011,C0301,2023-01-06,2,En ligne,Meknès,1532
V00226,P018,C0010,2024-02-08,3,En ligne,Tanger,2196
V00227,P015,C0927,2023-06-05,1,En ligne,Casablanca,1246
V00228,P011,C0938,2024-12-28,2,En ligne,Oujda,1532
V00229,P009,C0742,2023-09-09,3,Magasin physique,Casablanca,1665
V00230,P017,C0527,2023-08-02,2,Magasin physique,Meknès,730
V00231,P002,C0920,2023-02-05,2,En ligne,Tanger,2832
V00232,P017,C0971,2024-05-30,1,En ligne,Marrakech,365
V00233,P018,C0008,2024-04-24,3,En ligne,Fès,2196
V00234,P007,C0435,2024-10-23,3,En ligne,Fès,2967
V00235,P018,C0900,2023-10-08,3,Magasin physique,Rabat,2196
V00236,P005,C0471,2023-04-10,1,Magasin physique,Casablanca,1219
V00237,P003,C0056,2024-12-04,1,En ligne,Agadir,491
V00238,P018,C0589,2023-10-30,1,En ligne,Agadir,732
V00239,P014,C0462,2023-03-03,2,Magasin physique,Oujda,892
V00240,P011,C0399,2024-02-19,1,En ligne,Casablanca,766
V00241,P020,C0775,2024-02-05,1,En ligne,Rabat,585
V00242,P012,C0109,2023-10-27,3,Magasin physique,Agadir,1518
V00243,P020,C0289,2024-11-04,1,Magasin physique,Oujda,585
V00244,P013,C0032,2023-11-24,3,Magasin physique,Marrakech,3174
V00245,P018,C0140,2024-12-14,1,Magasin physique,Agadir,732
V00246,P005,C0694,2023-01-15,2,Magasin physique,Casablanca,2438
V00247,P018,C0145,2023-01-18,3,En ligne,Casablanca,2196
V00248,P001,C0611,2024-06-13,3,Magasin physique,Rabat,2589
V00249,P010,C0767,2023-05-31,1,Magasin physique,Fès,1040
V00250,P014,C0872,2024-03-08,3,En ligne,Marrakech,1338
V00251,P006,C0632,2024-10-25,1,Magasin physique,Fès,1165
V00252,P004,C0688,2024-05-12,1,En ligne,Meknès,707
V00253,P018,C0298,2024-10-28,1,En ligne,Agadir,732
V00254,P004,C0744,2023-08-27,1,Magasin physique,Tanger,707
V00255,P012,C0688,2024-05-25,1,En ligne,Rabat,506
V00256,P010,C0072,2023-03-07,3,En ligne,Tanger,3120
V00257,P016,C0337,2023-12-03,2,Magasin physique,Marrakech,1928
V00258,P019,C0374,2024-09-20,3,Magasin physique,Oujda,3966
V00259,P006,C0321,2024-04-15,1,En ligne,Fès,1165
V00260,P014,C0861,2024-05-21,2,Magasin physique,Marrakech,892
V00261,P011,C0474,2024-12-28,2,Magasin physique,Tanger,1532
V00262,P010,C0565,2023-11-30,2,En ligne,Marrakech,2080
V00263,P020,C0862,2024-11-09,1,Magasin physique,Marrakech,585
V00264,P018,C0270,2024-03-25,1,En ligne,Rabat,732
V00265,P001,C0647,2024-05-30,3,En ligne,Oujda,2589
V00266,P019,C0929,2024-06-14,1,En ligne,Agadir,1322
V00267,P018,C0484,2023-04-13,3,En ligne,Tanger,2196
V00268,P013,C0913,2023-02-21,1,Magasin physique,Marrakech,1058
V00269,P015,C0523,2023-03-12,3,En ligne,Oujda,3738
V00270,P012,C0011,2023-06-12,3,En ligne,Marrakech,1518
V00271,P017,C0457,2024-02-27,1,En ligne,Marrakech,365
V00272,P019,C0676,2023-09-01,3,En ligne,Meknès,3966
V00273,P012,C0225,2023-09-16,1,Magasin physique,Fès,506
V00274,P003,C0379,2024-07-16,2,En ligne,Casablanca,982
V00275,P007,C0930,2024-03-20,3,Magasin physique,Oujda,2967
V00276,P016,C0903,2023-04-09,2,En ligne,Casablanca,1928
V00277,P011,C0721,2024-07-12,1,Magasin physique,Agadir,766
V00278,P019,C0584,2023-06-25,3,En ligne,Oujda,3966
V00279,P013,C0602,2024-02-28,2,En ligne,Agadir,2116
V00280,P013,C0529,2024-03-07,1,Magasin physique,Tanger,1058
V00281,P012,C0812,2024-06-02,2,Magasin physique,Casablanca,1012
V00282,P017,C0451,2024-11-12,1,En ligne,Fès,365
V00283,P003,C0659,2024-01-08,3,Magasin physique,Fès,1473
V00284,P005,C0162,2023-02-26,1,Magasin physique,Rabat,1219
V00285,P008,C0831,2023-06-15,2,Magasin physique,Rabat,2008
V00286,P016,C0491,2023-05-18,3,Magasin physique,Fès,2892
V00287,P019,C0663,2023-09-19,1,Magasin physique,Casablanca,1322
V00288,P008,C0131,2024-04-22,1,En ligne,Marrakech,1004
V00289,P017,C0913,2024-06-25,1,En ligne,Casablanca,365
V00290,P006,C0945,2024-08-29,2,En ligne,Oujda,2330
V00291,P020,C0653,2023-02-27,3,En ligne,Agadir,1755
V00292,P003,C0460,2023-02-22,1,Magasin physique,Meknès,491
V00293,P006,C0851,2024-12-28,1,Magasin physique,Marrakech,1165
V00294,P019,C0639,2024-06-11,1,Magasin physique,Marrakech,1322
V00295,P011,C0611,2023-12-17,2,En ligne,Fès,1532
V00296,P013,C0136,2023-02-05,2,En ligne,Casablanca,2116
V00297,P007,C0881,2023-06-06,3,Magasin physique,Marrakech,2967
V00298,P020,C0182,2023-01-12,1,Magasin physique,Casablanca,585
V00299,P018,C0771,2023-02-25,3,En ligne,Rabat,2196
V00300,P016,C0134,2023-03-01,3,En ligne,Oujda,2892
V00301,P017,C0380,2023-10-27,2,En ligne,Oujda,730
V00302,P008,C0809,2024-07-01,2,Magasin physique,Tanger,2008
V00303,P019,C0930,2024-03-01,3,En ligne,Oujda,3966
V00304,P005,C0489,2023-05-07,2,En ligne,Rabat,2438
V00305,P010,C0898,2024-12-05,3,Magasin physique,Agadir,3120
V00306,P007,C0727,2024-07-02,1,En ligne,Rabat,989
V00307,P017,C0385,2023-03-08,1,En ligne,Tanger,365
V00308,P014,C0110,2023-12-13,2,En ligne,Oujda,892
V00309,P019,C0268,2023-07-08,2,Magasin physique,Tanger,2644
V00310,P020,C0697,2023-05-02,2,Magasin physique,Fès,1170
V00311,P014,C0803,2023-04-29,3,Magasin physique,Marrakech,1338
V00312,P012,C0569,2024-11-23,3,Magasin physique,Agadir,1518
V00313,P010,C0353,2023-02-15,3,Magasin physique,Marrakech,3120
V00314,P004,C0236,2023-09-15,3,Magasin physique,Marrakech,2121
V00315,P004,C0521,2024-09-20,1,Magasin physique,Tanger,707
V00316,P018,C0714,2023-03-10,3,En ligne,Marrakech,2196
V00317,P013,C0006,2023-02-22,3,En ligne,Marrakech,3174
V00318,P016,C0446,2023-06-26,3,En ligne,Rabat,2892
V00319,P009,C0380,2024-03-10,1,En ligne,Casablanca,555
V00320,P013,C0629,2024-12-12,2,Magasin physique,Casablanca,2116
V00321,P006,C0507,2024-04-07,3,Magasin physique,Casablanca,3495
V00322,P007,C0954,2024-07-11,3,Magasin physique,Fès,2967
V00323,P002,C0523,2024-07-21,3,En ligne,Marrakech,4248
V00324,P002,C0245,2024-10-26,2,En ligne,Marrakech,2832
V00325,P003,C0799,2024-03-20,2,Magasin physique,Tanger,982
V00326,P013,C0601,2023-10-25,2,En ligne,Casablanca,2116
V00327,P003,C0563,2023-06-19,1,Magasin physique,Tanger,491
V00328,P012,C0232,2024-07-19,2,En ligne,Meknès,1012
V00329,P013,C0005,2023-09-30,3,Magasin physique,Marrakech,3174
V00330,P014,C0110,2024-07-17,3,En ligne,Agadir,1338
V00331,P011,C0823,2023-06-15,1,Magasin physique,Agadir,766
V00332,P015,C0577,2023-10-17,2,Magasin physique,Fès,2492
V00333,P011,C0698,2024-08-09,2,Magasin physique,Casablanca,1532
V00334,P016,C0265,2024-04-03,1,En ligne,Oujda,964
V00335,P008,C0719,2024-07-02,3,En ligne,Tanger,3012
V00336,P014,C0529,2024-01-31,2,En ligne,Agadir,892
V00337,P008,C0096,2023-03-16,2,Magasin physique,Tanger,2008
V00338,P003,C0954,2023-09-26,3,En ligne,Meknès,1473
V00339,P011,C0224,2023-10-22,2,Magasin physique,Marrakech,1532
V00340,P007,C0755,2023-07-23,2,En ligne,Fès,1978
V00341,P008,C0212,2024-10-12,2,En ligne,Fès,2008
V00342,P008,C0365,2024-09-19,3,En ligne,Rabat,3012
V00343,P004,C0693,2024-09-15,1,Magasin physique,Casablanca,707
V00344,P018,C0869,2024-11-14,1,Magasin physique,Tanger,732
V00345,P020,C0505,2023-06-29,2,Magasin physique,Meknès,1170
V00346,P006,C0287,2024-12-19,3,Magasin physique,Fès,3495
V00347,P019,C0056,2023-11-11,1,Magasin physique,Meknès,1322
V00348,P018,C0515,2024-10-04,1,Magasin physique,Oujda,732
V00349,P006,C1000,2024-12-14,2,En ligne,Meknès,2330
V00350,P011,C0009,2024-04-16,3,En ligne,Fès,2298
V00351,P013,C0104,2023-07-05,3,Magasin physique,Tanger,3174
V00352,P020,C0192,2024-03-27,2,Magasin physique,Fès,1170
V00353,P009,C0982,2023-02-28,2,Magasin physique,Tanger,1110
V00354,P006,C0435,2023-01-04,2,En ligne,Oujda,2330
V00355,P012,C0875,2024-10-28,2,Magasin physique,Agadir,1012
V00356,P015,C0586,2024-08-29,1,En ligne,Fès,1246
V00357,P004,C0277,2024-06-26,3,En ligne,Oujda,2121
V00358,P013,C0150,2024-03-16,1,En ligne,Meknès,1058
V00359,P001,C0432,2023-01-11,1,Magasin physique,Marrakech,863
V00360,P017,C0738,2023-12-18,3,Magasin physique,Meknès,1095
V00361,P010,C0576,2024-11-05,2,En ligne,Oujda,2080
V00362,P004,C0168,2023-11-27,3,En ligne,Fès,2121
V00363,P009,C0860,2023-08-03,2,En ligne,Meknès,1110
V00364,P011,C0370,2023-07-18,2,Magasin physique,Agadir,1532
V00365,P012,C0422,2023-04-23,1,En ligne,Tanger,506
V00366,P020,C0591,2024-01-12,1,En ligne,Agadir,585
V00367,P012,C0690,2023-09-13,2,Magasin physique,Meknès,1012
V00368,P003,C0629,2023-09-23,2,Magasin physique,Meknès,982
V00369,P005,C0656,2023-03-05,1,Magasin physique,Oujda,1219
V00370,P020,C0415,2024-06-06,3,En ligne,Rabat,1755
V00371,P006,C0234,2024-10-07,2,Magasin physique,Tanger,2330
V00372,P010,C0274,2024-02-12,3,Magasin physique,Agadir,3120
V00373,P015,C0766,2024-12-04,2,Magasin physique,Oujda,2492
V00374,P006,C0875,2024-04-03,1,En ligne,Marrakech,1165
V00375,P008,C0258,2023-07-10,3,En ligne,Fès,3012
V00376,P006,C0106,2023-11-17,2,En ligne,Rabat,2330
V00377,P016,C0056,2024-11-22,3,En ligne,Oujda,2892
V00378,P017,C0107,2024-01-31,1,Magasin physique,Marrakech,365
V00379,P003,C0954,2023-06-18,3,Magasin physique,Agadir,1473
V00380,P008,C0756,2023-05-18,1,Magasin physique,Meknès,1004
V00381,P005,C0540,2024-03-28,1,En ligne,Casablanca,1219
V00382,P002,C0366,2023-11-16,3,Magasin physique,Meknès,4248
V00383,P015,C0958,2024-05-09,3,Magasin physique,Meknès,3738
V00384,P005,C0553,2024-03-17,3,En ligne,Meknès,3657
V00385,P019,C0537,2024-10-09,2,Magasin physique,Tanger,2644
V00386,P016,C0233,2023-09-06,3,En ligne,Meknès,2892
V00387,P010,C0423,2023-07-27,2,Magasin physique,Marrakech,2080
V00388,P010,C0001,2023-08-29,1,En ligne,Tanger,1040
V00389,P010,C0548,2023-04-14,2,En ligne,Meknès,2080
V00390,P016,C0010,2023-10-24,2,Magasin physique,Agadir,1928
V00391,P020,C0816,2024-01-31,1,En ligne,Tanger,585
V00392,P007,C0904,2023-01-23,2,Magasin physique,Oujda,1978
V00393,P008,C0733,2023-05-01,1,Magasin physique,Oujda,1004
V00394,P008,C0082,2023-04-30,2,Magasin physique,Fès,2008
V00395,P017,C0827,2024-01-05,3,Magasin physique,Agadir,1095
V00396,P018,C0423,2023-03-02,2,En ligne,Rabat,1464
V00397,P006,C0297,2023-08-13,1,En ligne,Meknès,1165
V00398,P020,C0279,2023-12-24,2,Magasin physique,Fès,1170
V00399,P011,C0156,2023-11-03,1,En ligne,Casablanca,766
V00400,P006,C0289,2023-08-02,1,Magasin physique,Marrakech,1165
V00401,P015,C0009,2023-05-15,3,En ligne,Rabat,3738
V00402,P005,C0506,2023-01-21,1,En ligne,Tanger,1219
V00403,P014,C0805,2023-02-28,2,Magasin physique,Tanger,892
V00404,P015,C0811,2024-01-04,3,En ligne,Tanger,3738
V00405,P003,C0058,2023-03-25,1,Magasin physique,Oujda,491
V00406,P003,C0482,2023-12-15,3,En ligne,Fès,1473
V00407,P009,C0849,2024-09-02,2,En ligne,Rabat,1110
V00408,P008,C0790,2024-01-25,2,Magasin physique,Fès,2008
V00409,P002,C0472,2024-02-03,1,En ligne,Fès,1416
V00410,P016,C0698,2024-08-13,2,Magasin physique,Tanger,1928
V00411,P006,C0746,2024-09-07,3,En ligne,Rabat,3495
